Topic,Count,Name,Representation,Representative_Docs
-1,3363,-1_to_the_model_for,"['to', 'the', 'model', 'for', 'in', 'of', 'add', 'and', 'error', 'with']","['Add a guide on how to implement scenarios and metrics to the README', 'May I ask how many questions and answers can I input as context for the model to answer the last question based on the context', 'How to get the SAMPLING_WEIGHTS  and SAMPLING_BOOST_MODELS ?']"
0,419,0_challenge_team_submission_challenges,"['challenge', 'team', 'submission', 'challenges', 'host', 'create', 'add', 'submissions', 'participant', 'endpoint']","['Add support in submission worker to update file field changes for Challenge and Challenge Phase', 'Create view to show all the submissions of a Challenge to Challenge Hosts', 'Create a endpoint for challenge host and team creation']"
1,345,1_python_no_typeerror_object,"['python', 'no', 'typeerror', 'object', 'attribute', 'attributeerror', 'module', 'keyerror', 'has', 'named']","[""AttributeError: 'Faithfulness' object has no attribute 'init_model'"", 'No Python results?', ""AttributeError: module 'evaluate' has no attribute 'load'""]"
2,341,2_evaluation_eval_implement_evals,"['evaluation', 'eval', 'implement', 'evals', 'results', 'the', 'evaluate', 'tasks', 'lmeval', 'for']","['ValueError: Tasks not found: persona_desire-for-acquiring-eval-results.', 'Tasks on code evaluation', 'How to add evaluation?']"
3,313,3_fastchat_conversation_chat_chatbot,"['fastchat', 'conversation', 'chat', 'chatbot', 'python3', 'fastchatservemodelworker', 'support', 'arena', 'with', 'template']","['FastChat/fastchat/serve /test_throughput.py', 'fastchat', 'fastchat.model.apply_delta error']"
4,267,4_openai_api_azure_key,"['openai', 'api', 'azure', 'key', 'error', 'with', 'using', 'openaiapiserver', 'oaieval', 'not']","['OpenAI API key not found', 'openai.error.APIConnectionError', 'Support stream_options for openAI API']"
5,256,5_metrics_metric_bias_calibration,"['metrics', 'metric', 'bias', 'calibration', 'label', 'for', 'in', 'add', 'multilabel', 'of']","['Metric Request: Bert score metrics', 'Add missing metrics', ""Question on metrics and metric's dependency ""]"
6,212,6_dataset_datasets_data_feature,"['dataset', 'datasets', 'data', 'feature', 'evaluation', 'support', 'for', 'the', 'bug', 'to']","['[dataset] Request for compassbench_v1.1.public dataset', '[Feature] Add a new evaluation dataset', 'Add HunSum-1 Dataset']"
7,200,7_pytorch_cuda_jax_torch,"['pytorch', 'cuda', 'jax', 'torch', 'runtimeerror', 'device', 'imagenet', 'workload', 'wmt', 'resnet']","['Conformer Pytorch CUDA OOM', 'imagenet resnet pytorch workload CUBLAS_STATUS_NOT_INITIALIZED ', 'Pytorch Conformer CUDA error']"
8,184,8_tokenizer_token_tokens_length,"['tokenizer', 'token', 'tokens', 'length', 'tokenization', 'pad', 'not', 'sequence', 'imported', 'currently']","['ValueError: Tokenizer class LlamaTokenizer does not exist or is not currently imported.', 'ValueError: Asking to pad but the tokenizer does not have a padding token. ', ""ValueError: Asking to pad but the tokenizer does not have a padding token. Please select a token to use as `pad_token` `(tokenizer.pad_token = tokenizer.eos_token e.g.)` or add a new pad token via `tokenizer.add_special_tokens({'pad_token': '[PAD]'})`.""]"
9,176,9_documentation_link_readme_docs,"['documentation', 'link', 'readme', 'docs', 'broken', 'update', 'links', 'typos', 'typo', 'guide']","['Broken link on documentation page', 'Broken link in readme.md', 'Broken link in the documentation']"
10,173,10_testset_test_generation_synthetic,"['testset', 'test', 'generation', 'synthetic', 'testsetgenerator', 'data', 'tests', 'generate', 'set', 'generator']","['Test data generation ', ""Synthetic Test Data generation doesn't output columns ['answer'] on testset"", '[R-268] Synthetic test data generation']"
11,169,11_gpu_gpus_memory_multigpu,"['gpu', 'gpus', 'memory', 'multigpu', 'multiple', 'with', 'a100', 'vram', 'on', 'single']","['multi gpu inference with run_rm.py', 'Multi model on single GPU ?', 'Out-of-memory of multi-gpu evaluation']"
12,168,12_installation_dependency_error_dependencies,"['installation', 'dependency', 'error', 'dependencies', 'windows', 'build', 'demo', 'errors', 'controller', 'install']","['Installation requirements/dependencies issues', 'Installation on windows', '[Installation] `pakohan/elasticmq` Error During Installation']"
13,164,13_feature_gaokao_mbppcn_vllmhf,"['feature', 'gaokao', 'mbppcn', 'vllmhf', 'flagevalserving', 'needlebench', 'baichuan13bchat', 'chatglm', 'gsm8k', 'was']","['[Feature] 多模态榜单', '[Feature] 是否支持断点继续的功能以避免重复测评？', '[Feature] 如何在此项目上测试openai接口部署的模型在数据集上的表现 ']"
14,159,14_llama_llama2_llamaindex_llama3,"['llama', 'llama2', 'llamaindex', 'llama3', 'template', 'llava', 'model', 'results', 'of', 'llama7b']","['Investigate logprobs of LLaMA and Llama 2 from Together', 'LLaMa 2 inference ', 'Running llama model']"
15,156,15_leaderboard_leaderboards_the_on,"['leaderboard', 'leaderboards', 'the', 'on', 'private', 'fix', 'results', 'to', 'add', 'in']","['Request the leaderboard data', 'Create a Leaderboard', 'LeaderBoard code']"
16,146,16_drift_data_visualization_report,"['drift', 'data', 'visualization', 'report', 'mapping', 'column', 'dashboard', 'plot', 'grafana', 'categorical']","['Cant load dashboard for Target Drift', 'Fix visualization in Data Drift metrics', 'inconsistent dataset_drift value in the data drift report']"
17,132,17_page_footer_profile_mobile,"['page', 'footer', 'profile', 'mobile', 'view', 'width', 'frontend', 'screen', 'frontendv2', 'fix']","['Fix footer alignment in T&C page.', '[Frontend V2] Bug in Dashboard in Mobile View', 'Update profile button not shown in mobile view']"
18,130,18_password_email_evalai_login,"['password', 'email', 'evalai', 'login', 'auth', 'signup', 'token', 'page', 'authentication', 'ui']","['Chrome suggests password in `Login Page` password field ', '""New password can\'t be same as old password"" displayed in password change view even when old password inserted is wrong.', 'Use custom email template for reset password feature']"
19,124,19_vicuna_vicuna13b_vicuna7b_training,"['vicuna', 'vicuna13b', 'vicuna7b', 'training', 'finetune', 'how', 'can', 'v15', 'model', 'output']","['How i can get vicuna model?', 'Why `model_max_length` from vicuna 1.1 and vicuna 1.3 are different?', 'How to use Vicuna?']"
