feature,ARES,AutoRAG,COMET,CipherChat,DomainBed,EvalAI,GAOKAO-Bench,Metaworld,Quantus,RAGChecker,RLBench,SimplerEnv,TrustLLM,VBench,VLMEvalKit,alpaca_eval,ann-benchmarks,beir,benchmark,bigcode-evaluation-harness,deepeval,evalplus,evals,evalscope,evaluate,evidently,giskard-oss,helm,human-eval,inference,inspect_ai,intellagent,jiwer,lighteval,llmperf,lm-evaluation-harness,lmms-eval,meltingpot,mir_eval,model-analysis,ogb,ollama-grid-search,opencompass,overcooked_ai,prometheus-eval,promptbench,pykeen,ragas,ranx,reward-bench,speech-to-text-benchmark,trulens
S1F1,1,2,1,1,1,1,1,0,0,1,0,0,1,1,2,1,2,1,1,1,3,1,2,2,0,2,2,2,0,2,3,1,0,2,0,2,2,0,0,1,2,0,3,0,1,2,2,1,1,1,1,2
S1F2,2,3,2,1,0,0,1,0,1,1,0,0,1,0,3,3,2,1,2,2,3,3,2,3,0,1,2,3,0,2,3,2,0,3,1,3,3,0,0,2,1,1,3,1,2,2,1,2,0,2,1,3
S1F3,2,2,0,2,0,0,1,0,0,1,0,0,1,1,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,0,2,2,0,3,1,3,2,0,0,0,0,1,2,0,2,2,0,1,0,1,0,2
S1F4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,2,2,2,2,3,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,1,3,2,2,2,3,2,2,2,2,3
S1F5,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,2
S1F6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
S2F1,1,3,1,1,2,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,1,2,1,1,1,1,1,1,1,1,1,0,1,1,2,0,1,1,1,1,2,1,1,1,1,0
S2F2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S2F3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2F4,1,1,1,0,0,0,0,0,0,2,1,1,0,1,1,0,1,2,1,0,1,0,1,1,0,0,1,1,1,1,2,3,0,0,0,2,1,1,0,0,0,0,1,1,1,1,2,1,0,0,0,1
S2F5,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,2,0,2,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
S2F6,3,2,0,1,0,0,1,0,0,0,2,1,1,1,2,0,0,1,0,1,2,1,1,2,0,1,2,2,0,1,1,3,0,1,1,1,0,2,0,0,0,1,2,0,1,2,0,0,0,1,0,1
S2F7,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
S2F8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
S3F1,1,2,1,0,0,1,0,0,1,1,0,0,1,1,2,1,2,0,1,1,1,0,2,1,0,0,1,2,0,2,1,2,0,1,0,2,1,0,0,2,0,1,2,0,0,1,2,1,0,1,0,1
S3F2,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,3,1,2,1,2,1,1,2,0,0,1,3,0,3,2,1,0,1,2,3,2,0,0,1,0,2,1,1,1,1,1,1,0,1,1,3
S3F3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,1,1,0,1,0,0,1,1,0,1,2,0,0,2,0,2,2,0,0,0,0,0,2,0,1,0,2,1,0,1,1,0
S3F4,1,2,1,1,0,2,1,0,1,1,1,0,2,1,2,1,2,0,1,1,2,2,1,1,0,0,1,3,1,2,3,1,0,1,1,2,1,1,0,2,0,1,2,1,0,0,2,2,0,1,0,2
S3F5,2,2,1,2,1,0,1,1,0,2,0,0,2,0,2,2,2,1,1,1,1,2,2,2,0,0,0,3,0,1,3,2,0,0,0,2,2,0,0,2,0,1,2,0,0,0,3,2,0,0,1,1
S3F6,0,1,2,0,1,2,0,0,0,0,0,0,0,1,2,0,2,1,2,1,1,1,0,1,0,0,0,2,1,2,1,0,0,1,1,2,2,1,0,2,1,0,3,0,1,0,1,1,1,1,1,1
S3F7,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,2
S4F1,1,1,0,0,0,1,1,0,0,1,0,1,1,2,2,1,0,0,0,1,1,2,2,2,1,2,2,2,1,2,2,1,0,1,0,2,1,0,1,2,0,0,2,0,1,1,1,1,1,1,1,2
S4F2,2,3,1,1,1,2,1,0,1,2,0,1,2,3,3,1,2,3,1,2,3,2,3,3,3,3,3,3,1,2,3,0,2,3,1,3,3,1,3,3,0,0,3,0,1,2,1,2,3,2,1,3
S4F3,2,2,3,1,0,1,2,0,0,2,0,0,2,3,3,3,0,0,0,0,3,1,2,2,1,2,3,2,0,1,3,2,0,2,0,2,2,0,0,1,0,0,2,0,3,1,0,3,0,2,0,3
