harness name,from awesome ml,tooling keyword,github repo,documentation,package distribution (non-git-clone),user interface,major release,evaluation target,primary evaluation task,high-coverage evaluation phases,medium-coverage evaluation phases,low-coverage evaluation phases,execution modality,reference type,evaluator type,creation date,major language,stars,forks,commits,contributors
AlpacaEval,yes,evaluator,https://github.com/tatsu-lab/alpaca_eval,"https://tatsu-lab.github.io/alpaca_eval,https://github.com/tatsu-lab/alpaca_eval/blob/main/README.md","pypi package,github package","api,cli",2,LLM,instruction following,"EXECUTE,SCORE","CONFIGURE,ANALYZE,SHIP","PREPARE,GOVERN",static analysis,"comparative baseline,implicit standard","model-based,algorithmic",2023-05-25 09:35:28+00:00,Python,1856.0,287.0,596.0,81.0
ANN-Benchmarks,yes,"benchmark tool,benchmark environment,test suite",https://github.com/erikbern/ann-benchmarks,,,"api,cli",1,ANN algorithm,nearest neighbor retrieval,"PREPARE,EXECUTE,SCORE,ANALYZE,SHIP","CONFIGURE,GOVERN",,"dynamic execution,static analysis","explicit label,behavioral specification,comparative baseline","algorithmic,environmental",2015-05-28 13:21:43+00:00,Python,5442.0,852.0,1585.0,77.0
ARES,yes,evaluation framework,https://github.com/stanford-futuredata/ARES,,pypi package,api,1,RAG system,question answering,"SCORE,ANALYZE","CONFIGURE,PREPARE,EXECUTE","SHIP,GOVERN",static analysis,"explicit label,implicit standard,comparative baseline","model-based,algorithmic",2023-09-27 03:56:19+00:00,Python,656.0,64.0,420.0,8.0
AutoRAG,,evaluation framework,https://github.com/Marker-Inc-Korea/AutoRAG,,"pypi package,prebuilt image",api,1,RAG system,question answering,"CONFIGURE,PREPARE,EXECUTE,SCORE,SHIP","ANALYZE,GOVERN",,static analysis,"behavioral specification,explicit label,implicit standard","algorithmic,model-based",2024-01-10 12:25:00+00:00,Python,4287.0,338.0,868.0,23.0
BEIR,yes,evaluation framework,https://github.com/beir-cellar/beir,,pypi package,api,1,ML model,information retrieval,"PREPARE,EXECUTE,SCORE","ANALYZE,SHIP","CONFIGURE,GOVERN",static analysis,explicit label,algorithmic,2021-01-18 09:55:54+00:00,Python,1957.0,218.0,489.0,15.0
CipherChat,,evaluation framework,https://github.com/RobustNLP/CipherChat,,,"api,cli",1,LLM,jailbreaking,"EXECUTE,SCORE","CONFIGURE,PREPARE,SHIP","ANALYZE,GOVERN",static analysis,"behavioral specification,explicit label","model-based,human",2023-08-10 05:55:17+00:00,Python,612.0,69.0,93.0,6.0
Code Generation LM Evaluation Harness,yes,"evaluation framework,evaluation harness",https://github.com/bigcode-project/bigcode-evaluation-harness,,prebuilt image,"api,cli",1,code model,code generation,"EXECUTE,SCORE,SHIP","CONFIGURE,PREPARE,ANALYZE",GOVERN,"dynamic execution,static analysis","behavioral specification,explicit label","algorithmic,environmental",2022-08-09 12:58:56+00:00,Python,979.0,252.0,920.0,32.0
COMET,yes,evaluation framework,https://github.com/Unbabel/COMET,,pypi package,"api,cli",1,MT system,machine translation,"SCORE,ANALYZE","CONFIGURE,EXECUTE,SHIP","PREPARE,GOVERN",static analysis,"behavioral specification,explicit label,implicit standard",model-based,2020-05-28 14:59:58+00:00,Python,659.0,93.0,568.0,28.0
DeepEval,yes,"evaluation framework,test framework",https://github.com/confident-ai/deepeval,,pypi package,"api,gui",1,"LLM,agent,RAG system",system robustness,"EXECUTE,SCORE,PREPARE,SHIP","CONFIGURE,ANALYZE",GOVERN,static analysis,"explicit label,comparative baseline,behavioral specification","algorithmic,model-based,human",2023-08-10 05:35:04+00:00,Python,10891.0,938.0,7039.0,201.0
DomainBed,yes,test suite,https://github.com/facebookresearch/DomainBed,,,"api,cli",1,ML model,image classification,"EXECUTE,SCORE","CONFIGURE,PREPARE,ANALYZE","SHIP,GOVERN","dynamic execution,static analysis","behavioral specification,explicit label",algorithmic,2020-06-29 21:32:09+00:00,Python,1544.0,322.0,207.0,28.0
EvalAI,yes,"comparison platform,evaluation platform","https://github.com/Cloud-CV/EvalAI,https://github.com/Cloud-CV/evalai-cli",,,"api,gui,cli",1,ML model,task-agnostic,"SHIP,GOVERN","CONFIGURE,EXECUTE,SCORE","PREPARE,ANALYZE",custom,custom,custom,2016-10-21 00:51:45+00:00,Python,1922.0,876.0,2562.0,149.0
EvalPlus,yes,evaluation framework,https://github.com/evalplus/evalplus,,pypi package,"api,cli",1,code model,code generation,"EXECUTE,SCORE,SHIP","CONFIGURE,ANALYZE,GOVERN",PREPARE,dynamic execution,"behavioral specification,explicit label","algorithmic,environmental",2023-04-15 04:20:10+00:00,Python,1587.0,177.0,821.0,26.0
Evals,yes,evaluation framework,https://github.com/openai/evals,,pypi package,"api,gui,cli",1,LLM,language modeling,"EXECUTE,SCORE","CONFIGURE,PREPARE,SHIP","ANALYZE,GOVERN","static analysis,interactive simulation","comparative baseline,explicit label,behavioral specification","algorithmic,model-based,environmental",2023-01-23 20:51:04+00:00,Python,16972.0,2798.0,688.0,434.0
EvalScope,yes,"benchmark framework,evaluation framework",https://github.com/modelscope/evalscope,,pypi package,"api,cli",1,DL model,language modeling,"EXECUTE,SCORE,SHIP","CONFIGURE,PREPARE,ANALYZE",GOVERN,"dynamic execution,static analysis","comparative baseline,explicit label,behavioral specification","algorithmic,model-based,environmental",2023-12-07 06:10:49+00:00,Python,1698.0,193.0,493.0,25.0
Evaluate,yes,"comparison library,evaluation library",https://github.com/huggingface/evaluate,,pypi package,"api,cli",1,"DL model,dataset",model prediction,SCORE,"ANALYZE,SHIP","CONFIGURE,PREPARE,EXECUTE,GOVERN",static analysis,"comparative baseline,explicit label,implicit standard,none","algorithmic,human,model-based",2022-03-30 15:08:26+00:00,Python,2323.0,292.0,973.0,121.0
Evidently,yes,"evaluation framework,test suite",https://github.com/evidentlyai/evidently,,pypi package,"api,gui,cli",1,ML model,system robustness,"SCORE,ANALYZE,SHIP","CONFIGURE,PREPARE,GOVERN",EXECUTE,static analysis,"explicit label,comparative baseline,none,behavioral specification","algorithmic,model-based,environmental",2020-11-25 15:20:08+00:00,Python,6617.0,724.0,2697.0,84.0
