keyword phrase,query link,# retrieved repos,qualified evaluation harnesses
benchmark environment,https://github.com/search?q=benchmark+environment+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,7,"https://github.com/HumanCompatibleAI/overcooked_ai,https://github.com/stepjam/RLBench,https://github.com/Farama-Foundation/Metaworld"
benchmark framework,https://github.com/search?q=benchmark+framework+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,44,"https://github.com/modelscope/evalscope,https://github.com/microsoft/promptbench,https://github.com/Picovoice/speech-to-text-benchmark,https://github.com/openai/evals"
benchmark library,https://github.com/search?q=benchmark+library+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,31,"https://github.com/erikbern/ann-benchmarks,https://github.com/ray-project/llmperf"
benchmark platform,https://github.com/search?q=benchmark+platform+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,11,https://github.com/open-compass/opencompass
benchmark suite,https://github.com/search?q=benchmark+suite+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,12,
benchmark tool,https://github.com/search?q=benchmark+tool+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,42,
comparison library,https://github.com/search?q=comparison+library+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,8,https://github.com/AmenRa/ranx
comparison platform,https://github.com/search?q=comparison+platform+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,8,
evals,https://github.com/search?q=evals+stars%3A%3E500&type=repositories&ref=advsearch&s=stars&o=desc,37,"https://github.com/promptfoo/promptfoo,https://github.com/openai/evals,https://github.com/truera/trulens,https://github.com/modelscope/evalscope"
evaluation environment,https://github.com/search?q=evaluation+environment+stars%3A%3E500&type=repositories&ref=advsearch&s=updated&o=desc,10,
