type,line of code,component/function/instruction,label,crowdsourced rater's name,crowdsourced rater's comment,author rater's name,author rater's comment
api,https://github.com/EleutherAI/lm-evaluation-harness/blob/9f152e0b89e777a17a21e9207da2ae4c1ea8beec/lm_eval/tasks/super_glue/cb/t5_utils.py#L11,EleutherAI__lm-evaluation-harness/agg_mean_3class_f1,calculate macro f1 score,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/EleutherAI/lm-evaluation-harness/blob/9f152e0b89e777a17a21e9207da2ae4c1ea8beec/lm_eval/tasks/super_glue/multirc/t5_utils.py#L43,EleutherAI__lm-evaluation-harness/agg_em,calculate group accuracy,Adekunle Ajibode,,Zhimin Zhao,Yes
cli,https://github.com/EleutherAI/lm-evaluation-harness/blob/9f152e0b89e777a17a21e9207da2ae4c1ea8beec/lm_eval/tasks/xnli/utils.py#L165,,generate language yamls,Adekunle Ajibode,,Zhimin Zhao,Yes
cli,https://github.com/erikbern/ann-benchmarks/blob/36681911472059cd4cb9fcac1686709201a2cbc0/plot.py#L95,,generate performance plot,Adekunle Ajibode,,Zhimin Zhao,Yes
cli,https://github.com/erikbern/ann-benchmarks/blob/36681911472059cd4cb9fcac1686709201a2cbc0/run.py#L5,,run benchmark,Adekunle Ajibode,,Zhimin Zhao,Yes
cli,https://github.com/evalplus/evalplus/blob/d362e933265c3e7e3df8101c930a89c3c470cd9f/tools/humaneval/fix_v019.py#L31,,apply contract fixes,Adekunle Ajibode,,Zhimin Zhao,Yes
cli,https://github.com/evalplus/evalplus/blob/d362e933265c3e7e3df8101c930a89c3c470cd9f/tools/humaneval/init_ground_truth.py#L6,,create groundtruth files,Adekunle Ajibode,,Zhimin Zhao,Yes
cli,https://github.com/evalplus/evalplus/blob/d362e933265c3e7e3df8101c930a89c3c470cd9f/tools/humaneval/to_original_fmt.py#L205,,generate test code,Adekunle Ajibode,,Zhimin Zhao,Yes
cli,https://github.com/evalplus/evalplus/blob/d362e933265c3e7e3df8101c930a89c3c470cd9f/tools/mbpp/fix_v020.py#L41,,update canonical solutions,Adekunle Ajibode,,Zhimin Zhao,Yes
cli,https://github.com/evalplus/evalplus/blob/d362e933265c3e7e3df8101c930a89c3c470cd9f/tools/tsr/sample_init.py#L47,,collect failure data,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/evidentlyai/evidently/blob/609cc2afbfa28c6b37be725b9f1f61bd18136990/src/evidently/metrics/column_statistics.py#L411,evidentlyai__evidently/to_config,unimplemented function,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/evidentlyai/evidently/blob/609cc2afbfa28c6b37be725b9f1f61bd18136990/src/evidently/metrics/group_by.py#L79,evidentlyai__evidently/label_metric,unimplemented function,Adekunle Ajibode,,Zhimin Zhao,Yes
cli,https://github.com/evidentlyai/evidently/blob/609cc2afbfa28c6b37be725b9f1f61bd18136990/src/evidently/metrics/recsys.py#L226,,calculate ranking metrics,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/evidentlyai/evidently/blob/609cc2afbfa28c6b37be725b9f1f61bd18136990/src/evidently/pydantic_utils.py#L533,evidentlyai__evidently/list_nested_fields_with_tags,extract nested fields,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/loggers/utils.py#L97,EvolvingLMMs-Lab__lmms-eval/add_env_info,update environment data,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/models/claude.py#L271,EvolvingLMMs-Lab__lmms-eval/generate_until_multi_round,unimplemented function,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/models/idefics2.py#L248,EvolvingLMMs-Lab__lmms-eval/generate_until_multi_round,unimplemented function,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/models/internvideo2.py#L365,EvolvingLMMs-Lab__lmms-eval/generate_until_multi_round,unimplemented function,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/models/llava.py#L432,EvolvingLMMs-Lab__lmms-eval/generate_until_multi_round,unimplemented function,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/models/model_utils/qwen/qwen_generate_utils.py#L27,EvolvingLMMs-Lab__lmms-eval/pad_batch,pad tokens,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/models/openai_compatible.py#L235,EvolvingLMMs-Lab__lmms-eval/generate_until_multi_round,unimplemented function,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/models/qwen2_5_vl_interleave.py#L407,EvolvingLMMs-Lab__lmms-eval/generate_until_multi_round,unimplemented function,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/models/qwen2_5_vl.py#L345,EvolvingLMMs-Lab__lmms-eval/generate_until_multi_round,unimplemented function,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/models/qwen2_vl.py#L420,EvolvingLMMs-Lab__lmms-eval/generate_until_multi_round,unimplemented function,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/models/vita.py#L378,EvolvingLMMs-Lab__lmms-eval/generate_until_multi_round,unimplemented function,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/models/whisper.py#L228,EvolvingLMMs-Lab__lmms-eval/generate_until_multi_round,unimplemented function,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/tasks/activitynetqa/utils.py#L63,EvolvingLMMs-Lab__lmms-eval/activitynetqa_doc_to_text,generate question prompt,Adekunle Ajibode,,Zhimin Zhao,Yes
api,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/tasks/chartqa/utils.py#L1,EvolvingLMMs-Lab__lmms-eval/chartqa_doc_to_visual,convert image to rgb,Adekunle Ajibode,,Zhimin Zhao,Yes
cli,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/tools/live_bench/create_dataset.py#L4,,capture dataset,Fangjian Lei,Yes,Zhimin Zhao,Yes
api,https://github.com/explodinggradients/ragas/blob/5d59549ad5ef511f621502c563bc55ac5aeb9188/ragas/src/ragas/integrations/langsmith.py#L23,explodinggradients__ragas/upload_dataset,upload dataset,Fangjian Lei,Yes,Zhimin Zhao,Yes
api,https://github.com/explodinggradients/ragas/blob/5d59549ad5ef511f621502c563bc55ac5aeb9188/ragas/src/ragas/integrations/r2r.py#L52,explodinggradients__ragas/transform_to_ragas_dataset,create ragas dataset,Fangjian Lei,Yes,Zhimin Zhao,Yes
api,https://github.com/explodinggradients/ragas/blob/5d59549ad5ef511f621502c563bc55ac5aeb9188/ragas/src/ragas/metrics/base.py#L345,explodinggradients__ragas/train,train model,Fangjian Lei,Yes,Zhimin Zhao,Yes
api,https://github.com/Farama-Foundation/Metaworld/blob/cdafedfaaa896472fb7e76e2fe103e120b67a9b6/metaworld/policies/sawyer_button_press_v3_policy.py#L22,Farama-Foundation__Metaworld/get_action,generate action,Fangjian Lei,Yes,Zhimin Zhao,Yes
api,https://github.com/Farama-Foundation/Metaworld/blob/cdafedfaaa896472fb7e76e2fe103e120b67a9b6/metaworld/policies/sawyer_coffee_button_v3_policy.py#L23,Farama-Foundation__Metaworld/get_action,generate action,Fangjian Lei,Yes,Zhimin Zhao,Yes
api,https://github.com/Farama-Foundation/Metaworld/blob/cdafedfaaa896472fb7e76e2fe103e120b67a9b6/metaworld/policies/sawyer_coffee_pull_v3_policy.py#L24,Farama-Foundation__Metaworld/get_action,generate action,Fangjian Lei,Yes,Zhimin Zhao,Yes
api,https://github.com/Farama-Foundation/Metaworld/blob/cdafedfaaa896472fb7e76e2fe103e120b67a9b6/metaworld/policies/sawyer_peg_unplug_side_v3_policy.py#L23,Farama-Foundation__Metaworld/get_action,generate action,Fangjian Lei,Yes,Zhimin Zhao,Yes
api,https://github.com/Farama-Foundation/Metaworld/blob/cdafedfaaa896472fb7e76e2fe103e120b67a9b6/metaworld/policies/sawyer_pick_place_v3_policy.py#L26,Farama-Foundation__Metaworld/get_action,generate action,Fangjian Lei,Yes,Zhimin Zhao,Yes
api,https://github.com/Farama-Foundation/Metaworld/blob/cdafedfaaa896472fb7e76e2fe103e120b67a9b6/metaworld/policies/sawyer_plate_slide_v3_policy.py#L25,Farama-Foundation__Metaworld/get_action,generate action,Fangjian Lei,Yes,Zhimin Zhao,Yes
api,https://github.com/Farama-Foundation/Metaworld/blob/cdafedfaaa896472fb7e76e2fe103e120b67a9b6/metaworld/policies/sawyer_push_back_v3_policy.py#L24,Farama-Foundation__Metaworld/get_action,generate action,Fangjian Lei,Yes,Zhimin Zhao,Yes
api,https://github.com/Farama-Foundation/Metaworld/blob/cdafedfaaa896472fb7e76e2fe103e120b67a9b6/metaworld/policies/sawyer_window_close_v3_policy.py#L23,Farama-Foundation__Metaworld/get_action,generate action,Fangjian Lei,Yes,Zhimin Zhao,Yes
api,https://github.com/Farama-Foundation/Metaworld/blob/cdafedfaaa896472fb7e76e2fe103e120b67a9b6/metaworld/sawyer_xyz_env.py#L327,Farama-Foundation__Metaworld/discretize_goal_space,discretize goals,Fangjian Lei,Yes,Zhimin Zhao,Yes
api,https://github.com/Farama-Foundation/Metaworld/blob/cdafedfaaa896472fb7e76e2fe103e120b67a9b6/metaworld/wrappers.py#L31,Farama-Foundation__Metaworld/observation,concatenate observation,Fangjian Lei,Yes,Zhimin Zhao,Yes
api,https://github.com/Giskard-AI/giskard/blob/6808a562cc1c565e6cf88aeb1fd1f77d28fe76ba/giskard/client/python_utils.py#L29,Giskard-AI__giskard/get_python_version,retrieve python version,Fangjian Lei,Yes,Zhimin Zhao,Yes
api,https://github.com/Giskard-AI/giskard/blob/6808a562cc1c565e6cf88aeb1fd1f77d28fe76ba/giskard/registry/decorators_utils.py#L65,Giskard-AI__giskard/insert_arg,insert parameter,Fangjian Lei,Yes,Zhimin Zhao,Yes
