harness name,Dataset,Metrics,Source code,Model,DatasetMetadata,Prompt,GroundTruth,Parameter,Experiment,Execution state,Execution result,Plot,FileMetadata,Challenge,Benchmark,Environment,Console log,Embedding,Pipeline,Library,Hardware,Stage,CodeMetadata,AccessMetadata,GitMetadata
ANN-Benchmarks,0.002081165452653486,0.006711409395973154,0.0020408163265306124,0.0,0.0,0.0035460992907801418,0.0,0.0045045045045045045,0.0,0.0,0.0,0.013071895424836602,0.0,0.0,0.008620689655172414,0.009174311926605505,0.0,0.14285714285714285,0.07246376811594203,0.0,0.0,0.0,0.0,0.0,0.0
ARES,0.005202913631633715,0.0016778523489932886,0.0,0.0,0.0,0.0,0.017467248908296942,0.013513513513513514,0.0,0.041666666666666664,0.012345679012345678,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.015873015873015872,0.0,0.0,0.025,0.0
AlpacaEval,0.002081165452653486,0.0050335570469798654,0.006122448979591836,0.002785515320334262,0.010273972602739725,0.0,0.013100436681222707,0.0045045045045045045,0.0,0.005952380952380952,0.018518518518518517,0.0196078431372549,0.0,0.04918032786885246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AutoRAG,0.030176899063475548,0.0016778523489932886,0.02040816326530612,0.002785515320334262,0.003424657534246575,0.031914893617021274,0.039301310043668124,0.0045045045045045045,0.033707865168539325,0.005952380952380952,0.06790123456790123,0.013071895424836602,0.037037037037037035,0.0,0.0,0.07339449541284404,0.0,0.011904761904761904,0.057971014492753624,0.029850746268656716,0.047619047619047616,0.0,0.0,0.0,0.0
BEIR,0.011446409989594173,0.003355704697986577,0.014285714285714285,0.0,0.0,0.0,0.004366812227074236,0.0,0.0,0.0,0.030864197530864196,0.0,0.014814814814814815,0.0,0.017241379310344827,0.0,0.0,0.0,0.028985507246376812,0.0,0.015873015873015872,0.0,0.0,0.0,0.0
COMET,0.004162330905306972,0.015100671140939598,0.0,0.002785515320334262,0.010273972602739725,0.0035460992907801418,0.0,0.02252252252252252,0.0,0.017857142857142856,0.024691358024691357,0.0,0.007407407407407408,0.0,0.0,0.0,0.03296703296703297,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0
CipherChat,0.001040582726326743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Code Generation LM Evaluation Harness,0.003121748178980229,0.006711409395973154,0.04693877551020408,0.011142061281337047,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.012345679012345678,0.0,0.0,0.0,0.02586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
DeepEval,0.013527575442247659,0.016778523489932886,0.004081632653061225,0.025069637883008356,0.003424657534246575,0.0070921985815602835,0.004366812227074236,0.009009009009009009,0.0,0.011904761904761904,0.043209876543209874,0.0,0.007407407407407408,0.0,0.008620689655172414,0.06422018348623854,0.12087912087912088,0.07142857142857142,0.0,0.0,0.031746031746031744,0.0,0.0,0.075,0.0
DomainBed,0.006243496357960458,0.003355704697986577,0.0,0.008356545961002786,0.05136986301369863,0.0,0.0,0.02702702702702703,0.0056179775280898875,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
